"","analysis_type","label_information","label_group_var_1","label_group_var_value_2"
"1","prop_select_one","% of school-aged children who attended school or any early childhood education program at any time during the 2023-2024 school year ","urbanity","Overall"
"2","prop_select_one","% of school-aged children who attended school or any early childhood education program at any time during the 2023-2024 school year ","urbanity","Girls"
"3","prop_select_one","% of school-aged children who attended school or any early childhood education program at any time during the 2023-2024 school year ","urbanity","Boys"
"4","prop_select_one","% of children one year before primary school entry age attending early childhood education or primary school.","urbanity","Overall"
"5","prop_select_one","% of children one year before primary school entry age attending early childhood education or primary school.","urbanity","Girls"
"6","prop_select_one","% of children one year before primary school entry age attending early childhood education or primary school.","urbanity","Boys"
"7","prop_select_one","% of children one year before primary school entry age attending primary school.","urbanity","Overall"
"8","prop_select_one","% of children one year before primary school entry age attending primary school.","urbanity","Girls"
"9","prop_select_one","% of children one year before primary school entry age attending primary school.","urbanity","Boys"
