"","analysis_type","label_information","label_group_var_1","label_group_var_value_1"
"1","prop_select_one","% of school-aged children who attended school or any early childhood education program at any time during the 2023-2024 school year ","urbanity","Rural"
"2","prop_select_one","% of school-aged children who attended school or any early childhood education program at any time during the 2023-2024 school year ","urbanity","Urban"
"3","prop_select_one","% of school-aged children of primary school age currently attending primary or higher","urbanity","Rural"
"4","prop_select_one","% of school-aged children of primary school age currently attending primary or higher","urbanity","Urban"
