"","analysis_type","label_information","label_group_var_1","label_group_var_value_1"
"1","prop_select_one","% of school-aged children who attended school or any early childhood education program at any time during the 2023-2024 school year ","urbanity","Rural"
"2","prop_select_one","% of school-aged children who attended school or any early childhood education program at any time during the 2023-2024 school year ","urbanity","Urban"
"3","prop_select_one","% of children one year before primary school entry age attending early childhood education or primary school.","urbanity","Rural"
"4","prop_select_one","% of children one year before primary school entry age attending early childhood education or primary school.","urbanity","Urban"
"5","prop_select_one","% of children one year before primary school entry age attending primary school.","urbanity","Rural"
"6","prop_select_one","% of children one year before primary school entry age attending primary school.","urbanity","Urban"
