"","analysis_type","label_information","label_group_var_1","label_group_var_value_1"
"1","prop_select_one","% of school-aged children who attended school or any early childhood education program at any time during the 2023-2024 school year ","urbanity","Rural"
"2","prop_select_one","% of school-aged children who attended school or any early childhood education program at any time during the 2023-2024 school year ","urbanity","Urban"
"3","prop_select_one","% of school-aged children attending primary school who are at least 2 years above the intended age for their grade","urbanity","Rural"
"4","prop_select_one","% of school-aged children attending primary school who are at least 2 years above the intended age for their grade","urbanity","Urban"
"5","prop_select_one","% of school-aged children attending secondary school who are at least 2 years above the intended age for their grade","urbanity","Rural"
"6","prop_select_one","% of school-aged children attending secondary school who are at least 2 years above the intended age for their grade","urbanity","Urban"
