"","analysis_type","label_information","label_group_var_1","label_group_var_value_2"
"1","prop_select_one","% of school-aged children who attended school or any early childhood education program at any time during the 2023-2024 school year ","urbanity","Overall"
"2","prop_select_one","% of school-aged children who attended school or any early childhood education program at any time during the 2023-2024 school year ","urbanity","Girls"
"3","prop_select_one","% of school-aged children who attended school or any early childhood education program at any time during the 2023-2024 school year ","urbanity","Boys"
"4","prop_select_one","% of school-aged children of  secondary school age currently attending secondary school or higher","urbanity","Overall"
"5","prop_select_one","% of school-aged children of  secondary school age currently attending secondary school or higher","urbanity","Boys"
